timestamp,open,high,low,close,volume
2024-06-10,196.88,197.3,192.15,193.13,79332969
2024-06-11,193.69,207.16,193.63,207.14,146503163
2024-06-12,207.37,220.2,206.9,213.08,165633021
2024-06-13,214.74,216.75,211.6,214.13,75930910
2024-06-14,213.81,215.17,211.3,212.52,52775136
2024-06-17,213.36,218.95,212.72,216.71,77367330
2024-06-18,217.61,218.63,213,214.38,65491631
2024-06-20,213.93,214.24,208.85,209.68,84063731
2024-06-21,210.39,211.89,207.11,207.49,204676444
2024-06-24,207.72,212.7,206.59,208.14,76183442
