timestamp,open,high,low,close,volume
2024-06-10,424.7,428.08,423.89,427.87,12960379
2024-06-11,425.475,432.82,425.25,432.68,13664488
2024-06-12,435.32,443.4,433.25,441.06,21670711
2024-06-13,440.85,443.39,439.37,441.58,15192736
2024-06-14,438.275,443.1376,436.721,442.57,12693028
2024-06-17,442.585,450.94,440.72,448.37,19761406
2024-06-18,449.705,450.14,444.89,446.34,16438828
2024-06-20,446.3,446.53,441.27,445.7,19352743
2024-06-21,447.38,450.58,446.51,449.78,27518752
2024-06-24,449.8,452.75,446.41,447.67,14721312
