timestamp,open,high,low,close,volume
2024-06-10,176.11,178.57,173.17,173.79,41930850
2024-06-11,173.92,174.75,167.41,170.58,52371597
2024-06-12,171.14,180.55,169.8,177.19,73220284
2024-06-13,188.3,191.08,181.23,182.565,98481075
2024-06-14,185.83,186,176.92,177.965,67846291
2024-06-17,177.95,188.81,177,187.52,91448181
2024-06-18,186.56,187.2,182.37,184.881,58157781
2024-06-20,184.68,185.21,179.66,181.57,55564644
2024-06-21,182.3,183.95,180.69,183.01,59022409
2024-06-24,184.97,188.8,182.55,182.58,61572708
