"Date,Open,High,Low,Close,Volume,OpenInt"
"1996-04-12,1.05,1.79,1.02,1.38,408720000,0"
"1996-04-15,1.49,1.5,1.25,1.34,79231200,0"
"1996-04-16,1.34,1.34,1.17,1.2,48026400,0"
"1996-04-17,1.18,1.18,1.03,1.12,42871200,0"
"1996-04-18,1.25,1.25,1.17,1.22,27352800,0"
"1996-04-19,1.25,1.28,1.2,1.21,13024800,0"
"1996-04-22,1.21,1.21,1.15,1.18,8112000,0"
"1996-04-23,1.2,1.21,1.17,1.17,4420800,0"
"1996-04-24,1.19,1.22,1.16,1.21,7860000,0"
"1996-04-25,1.25,1.34,1.21,1.3,19500000,0"
"1996-04-26,1.33,1.34,1.3,1.32,7632000,0"
"1996-04-29,1.31,1.33,1.27,1.29,6021600,0"
"1996-04-30,1.3,1.31,1.23,1.24,5119200,0"
"1996-05-01,1.26,1.32,1.25,1.31,4927200,0"
"1996-05-02,1.31,1.39,1.31,1.37,9806400,0"
"1996-05-03,1.34,1.35,1.3,1.33,6184800,0"
"1996-05-06,1.35,1.35,1.23,1.25,8246400,0"
"1996-05-07,1.25,1.28,1.24,1.26,5599200,0"
"1996-05-08,1.27,1.28,1.22,1.26,6314400,0"
"1996-05-09,1.25,1.28,1.24,1.28,4140000,0"
"1996-05-10,1.28,1.32,1.27,1.3,5940000,0"
"1996-05-13,1.3,1.31,1.25,1.26,2808000,0"
"1996-05-14,1.28,1.29,1.23,1.23,4094400,0"
"1996-05-15,1.25,1.28,1.24,1.26,2224800,0"
"1996-05-16,1.24,1.27,1.24,1.26,3408000,0"
"1996-05-17,1.26,1.27,1.24,1.25,2474400,0"
"1996-05-20,1.25,1.26,1.21,1.21,4358400,0"
"1996-05-21,1.21,1.22,1.16,1.17,4166400,0"
"1996-05-22,1.17,1.17,1.12,1.15,2654400,0"
"1996-05-23,1.15,1.23,1.15,1.23,2940000,0"
"1996-05-24,1.23,1.25,1.2,1.23,2541600,0"
"1996-05-28,1.22,1.24,1.19,1.21,2260800,0"
"1996-05-29,1.2,1.2,1.12,1.15,3799200,0"
"1996-05-30,1.15,1.21,1.15,1.18,3127200,0"
"1996-05-31,1.2,1.2,1.14,1.17,1766400,0"
"1996-06-03,1.16,1.17,1.14,1.14,1245600,0"
"1996-06-04,1.14,1.17,1.13,1.13,2508000,0"
"1996-06-05,1.15,1.15,1.12,1.13,1281600,0"
"1996-06-06,1.19,1.2,1.15,1.16,3892800,0"
"1996-06-07,1.14,1.14,1.1,1.12,3513600,0"
"1996-06-10,1.12,1.12,1.09,1.1,1946400,0"
"1996-06-11,1.09,1.1,1.06,1.06,4334400,0"
"1996-06-12,1.07,1.11,1.07,1.08,2726400,0"
"1996-06-13,1.07,1.09,1.02,1.06,5752800,0"
"1996-06-14,1.03,1.06,1.03,1.03,2119200,0"
"1996-06-17,1.03,1.04,0.94,0.96,3321600,0"
"1996-06-18,0.91,0.93,0.85,0.85,5592000,0"
"1996-06-19,0.88,0.9,0.85,0.86,4144800,0"
"1996-06-20,0.88,0.91,0.85,0.91,3004800,0"
"1996-06-21,0.93,0.95,0.91,0.93,2625600,0"
"1996-06-24,0.93,0.93,0.91,0.91,720000,0"
"1996-06-25,0.91,0.93,0.9,0.91,1012800,0"
"1996-06-26,0.9,0.92,0.86,0.88,1514400,0"
"1996-06-27,0.89,0.92,0.76,0.76,7500000,0"
"1996-06-28,0.81,0.88,0.79,0.88,4195200,0"
"1996-07-01,0.85,0.93,0.85,0.91,2359200,0"
"1996-07-02,0.93,0.93,0.89,0.89,998400,0"
"1996-07-03,0.91,0.91,0.85,0.88,1488000,0"
"1996-07-05,0.83,0.86,0.82,0.83,765600,0"
"1996-07-08,0.83,0.83,0.8,0.83,1219200,0"
"1996-07-09,0.81,0.83,0.77,0.77,2220000,0"
"1996-07-10,0.78,0.78,0.67,0.68,5978400,0"
"1996-07-11,0.67,0.72,0.65,0.72,3595200,0"
"1996-07-12,0.71,0.75,0.71,0.73,1706400,0"
"1996-07-15,0.75,0.77,0.73,0.74,2025600,0"
"1996-07-16,0.74,0.77,0.72,0.75,3799200,0"
"1996-07-17,0.76,0.8,0.74,0.8,1946400,0"
"1996-07-18,0.81,0.83,0.78,0.8,1701600,0"
"1996-07-19,0.83,0.83,0.78,0.79,1255200,0"
"1996-07-22,0.79,0.79,0.73,0.75,1231200,0"
"1996-07-23,0.73,0.75,0.68,0.68,1994400,0"
"1996-07-24,0.68,0.68,0.65,0.66,981600,0"
"1996-07-25,0.66,0.7,0.66,0.68,1332000,0"
"1996-07-26,0.68,0.69,0.66,0.69,667200,0"
"1996-07-29,0.68,0.69,0.67,0.67,446400,0"
"1996-07-30,0.68,0.73,0.68,0.71,801600,0"
"1996-07-31,0.71,0.75,0.71,0.75,1051200,0"
"1996-08-01,0.75,0.79,0.73,0.79,1495200,0"
"1996-08-02,0.77,0.8,0.77,0.79,1286400,0"
"1996-08-05,0.79,0.81,0.79,0.79,528000,0"
"1996-08-06,0.8,0.8,0.76,0.76,873600,0"
"1996-08-07,0.74,0.76,0.74,0.75,979200,0"
"1996-08-08,0.75,0.77,0.74,0.77,1788000,0"
"1996-08-09,0.72,0.74,0.69,0.74,1920000,0"
"1996-08-12,0.73,0.73,0.71,0.72,945600,0"
"1996-08-13,0.71,0.85,0.71,0.83,10545600,0"
"1996-08-14,0.84,0.86,0.83,0.85,4881600,0"
"1996-08-15,0.85,0.85,0.81,0.83,1300800,0"
"1996-08-16,0.81,0.83,0.8,0.81,945600,0"
"1996-08-19,0.81,0.81,0.81,0.81,535200,0"
"1996-08-20,0.81,0.81,0.8,0.8,501600,0"
"1996-08-21,0.8,0.8,0.76,0.78,806400,0"
"1996-08-22,0.78,0.83,0.76,0.83,1924800,0"
"1996-08-23,0.82,0.84,0.82,0.82,1060800,0"
"1996-08-26,0.84,0.84,0.82,0.82,472800,0"
"1996-08-27,0.82,0.85,0.82,0.84,2020800,0"
"1996-08-28,0.84,0.92,0.84,0.88,5280000,0"
"1996-08-29,0.87,0.88,0.82,0.82,2025600,0"
"1996-08-30,0.83,0.84,0.81,0.81,1024800,0"
"1996-09-03,0.79,0.81,0.78,0.79,1041600,0"
"1996-09-04,0.79,0.8,0.78,0.79,554400,0"
"1996-09-05,0.77,0.78,0.77,0.77,232800,0"
"1996-09-06,0.76,0.78,0.76,0.77,772800,0"
"1996-09-09,0.76,0.79,0.76,0.78,900000,0"
"1996-09-10,0.78,0.8,0.77,0.77,1012800,0"
"1996-09-11,0.78,0.79,0.77,0.79,1305600,0"
"1996-09-12,0.78,0.81,0.78,0.81,1473600,0"
"1996-09-13,0.83,0.87,0.82,0.86,3235200,0"
"1996-09-16,0.86,0.88,0.85,0.86,1485600,0"
"1996-09-17,0.88,0.9,0.86,0.9,2680800,0"
"1996-09-18,0.9,0.9,0.85,0.86,2011200,0"
"1996-09-19,0.86,0.9,0.85,0.9,1807200,0"
"1996-09-20,0.9,1,0.89,1,7473600,0"
"1996-09-23,0.99,1.02,0.99,0.99,5361600,0"
"1996-09-24,0.99,0.99,0.94,0.95,3873600,0"
"1996-09-25,0.94,0.94,0.9,0.91,2107200,0"
"1996-09-26,0.9,0.92,0.9,0.91,1128000,0"
"1996-09-27,0.91,0.92,0.9,0.91,806400,0"
"1996-09-30,0.91,0.91,0.89,0.89,921600,0"
"1996-10-01,0.88,0.89,0.8,0.81,4120800,0"
"1996-10-02,0.85,0.94,0.85,0.91,5865600,0"
"1996-10-03,0.92,0.98,0.92,0.94,4327200,0"
"1996-10-04,0.96,0.97,0.92,0.92,2119200,0"
"1996-10-07,0.92,0.94,0.92,0.93,847200,0"
"1996-10-08,0.93,0.94,0.87,0.87,2378400,0"
"1996-10-09,0.87,0.94,0.87,0.94,2481600,0"
"1996-10-10,0.95,0.95,0.85,0.85,8692800,0"
"1996-10-11,0.85,0.87,0.85,0.86,2508000,0"
"1996-10-14,0.87,0.9,0.86,0.9,6573600,0"
"1996-10-15,0.9,0.91,0.88,0.9,3912000,0"
"1996-10-16,0.89,0.9,0.88,0.88,2738400,0"
"1996-10-17,0.88,0.92,0.88,0.92,3585600,0"
"1996-10-18,0.93,0.93,0.91,0.92,2685600,0"
"1996-10-21,0.91,0.93,0.91,0.91,2272800,0"
"1996-10-22,0.91,0.92,0.89,0.89,1975200,0"
"1996-10-23,0.89,0.9,0.88,0.88,1521600,0"
"1996-10-24,0.88,0.88,0.87,0.87,1272000,0"
"1996-10-25,0.87,0.88,0.85,0.85,2020800,0"
"1996-10-28,0.85,0.86,0.85,0.86,604800,0"
"1996-10-29,0.86,0.86,0.85,0.85,708000,0"
"1996-10-30,0.85,0.86,0.84,0.84,974400,0"
"1996-10-31,0.83,0.84,0.81,0.82,1761600,0"
"1996-11-01,0.81,0.82,0.81,0.81,398400,0"
"1996-11-04,0.81,0.82,0.79,0.79,1015200,0"
"1996-11-05,0.79,0.8,0.73,0.76,3040800,0"
"1996-11-06,0.75,0.77,0.74,0.75,1778400,0"
"1996-11-07,0.74,0.77,0.74,0.76,1053600,0"
"1996-11-08,0.76,0.81,0.76,0.81,2191200,0"
"1996-11-11,0.81,0.84,0.81,0.84,2455200,0"
"1996-11-12,0.83,0.84,0.81,0.82,844800,0"
"1996-11-13,0.82,0.82,0.78,0.79,1420800,0"
"1996-11-14,0.79,0.79,0.76,0.76,1684800,0"
"1996-11-15,0.77,0.78,0.76,0.77,1324800,0"
